AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Hemiculter leucisculus;Hemiculter leucisculus;2367280;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hemimysis anomala;Hemimysis anomala;2220312;Metazoa;mysidacea;Mysidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Herichthys cyanoguttatus;Herichthys cyanoguttatus;2373136;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Heterotis niloticus;Heterotis niloticus;5212880;Metazoa;osteoglossiformes;Arapaimidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hydrilla verticillata;Hydrilla verticillata;5329570;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hydrocharis morsus-ranae;Hydrocharis morsus-ranae;5329266;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hygrophila polysperma;Hygrophila polysperma;5415355;Plantae;lamiales;Acanthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hymenachne amplexicaulis;Hymenachne amplexicaulis;2705781;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hypostomus plecostomus;Hypostomus plecostomus;5202178;Metazoa;siluriformes;Loricariidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ictalurus furcatus;Ictalurus furcatus;5202525;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ictalurus punctatus;Ictalurus punctatus;5202520;Metazoa;siluriformes;Ictaluridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Iguana iguana;Iguana iguana;2459658;Metazoa;sauria;Iguanidae;chordata;reptilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ipomoea aquatica;Ipomoea aquatica;2928525;Plantae;solanales;Convolvulaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Jatropha gossypiifolia;Jatropha gossypiifolia;3072900;Plantae;malpighiales;Euphorbiaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Juncus effusus;Juncus effusus;2701311;Plantae;poales;Juncaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Juncus ensifolius;Juncus ensifolius;2701612;Plantae;poales;Juncaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lagarosiphon major;Lagarosiphon major;2865565;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lates niloticus;Lates niloticus;2393184;Metazoa;perciformes;Centropomidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lemna aequinoctialis;Lemna aequinoctialis;2867616;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lemna minuta;Lemna minuta;2867614;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
